datum,pocet_poslancu,hlasovani_platnych,prum_pct_hlasoval,prum_pct_neprihlasen
2026-06-04,206,1312,79.6,6.4
2026-06-05,206,1478,80.9,6.0
2026-06-06,206,1501,80.9,6.0
2026-06-07,206,1501,80.9,6.0
2026-06-08,206,1501,80.9,6.0
2026-06-09,206,1501,80.9,5.8
2026-06-10,206,1501,80.9,5.8
2026-06-11,206,1501,80.9,5.8
2026-06-12,206,1507,80.8,5.8
2026-06-13,206,1500,80.9,5.8
2026-06-14,206,1500,80.9,5.8
2026-06-15,206,1500,80.9,5.8
2026-06-16,206,1500,80.9,5.8
2026-06-17,206,1500,80.9,5.8
2026-06-18,206,1500,80.9,5.8
2026-06-19,207,1500,80.5,5.8
2026-06-20,207,1500,80.5,5.8
2026-06-21,207,1500,80.5,5.8
2026-06-22,207,1500,80.5,5.8
2026-06-23,207,1500,80.5,5.8
2026-06-24,207,1552,80.8,6.0
2026-06-25,207,1561,80.7,6.0
2026-06-26,207,1577,80.6,6.0
2026-06-27,207,1617,80.3,6.0
2026-06-28,207,1617,80.3,6.0
2026-06-29,207,1617,80.3,6.0
2026-06-30,207,1617,80.3,6.0
2026-07-01,207,1667,80.2,6.0
2026-07-02,207,1696,80.3,6.0
2026-07-03,207,1712,80.1,6.1
2026-07-04,207,1742,79.8,6.1
2026-07-05,207,1742,79.8,6.1
2026-07-06,207,1742,79.8,6.1
2026-07-07,207,1742,79.8,6.1
2026-07-08,207,1764,79.9,6.1
2026-07-09,207,1793,79.8,6.0
2026-07-10,207,1793,79.8,6.0
2026-07-11,207,1915,80.0,5.8
2026-07-12,207,1915,80.0,5.8
2026-07-13,207,1915,80.0,5.8
2026-07-14,207,1915,80.0,5.8
2026-07-15,207,1930,79.9,5.8
2026-07-16,207,2014,79.8,5.7
2026-07-17,207,2014,79.8,5.7
2026-07-18,207,2014,79.8,5.7
2026-07-19,207,2014,79.8,5.7
2026-07-20,207,2014,79.8,5.7
2026-07-21,207,2014,79.8,5.7
2026-07-22,207,2014,79.8,5.7
2026-07-23,207,2014,79.8,5.7
2026-07-24,207,2014,79.8,5.7
2026-07-25,207,2014,79.8,5.7
2026-07-26,207,2014,79.8,5.7
2026-07-27,207,2014,79.8,5.7
2026-07-28,207,2014,79.8,5.7
2026-07-29,207,2014,79.8,5.7
2026-07-30,207,2014,79.8,5.7
2026-07-31,207,2014,79.8,5.7
2026-08-01,207,2014,79.8,5.7
2026-08-02,207,2014,79.8,5.7
2026-08-03,207,2014,79.8,5.7
2026-08-04,207,2014,79.8,5.7
2026-08-05,207,2014,79.8,5.7
2026-08-06,207,2014,79.8,5.7
2026-08-07,207,2014,79.8,5.7
2026-08-08,207,2014,79.8,5.7
2026-08-09,207,2014,79.8,5.7
2026-08-10,207,2014,79.8,5.7
2026-08-11,207,2014,79.8,5.7
2026-08-12,207,2014,79.8,5.7
2026-08-13,207,2014,79.8,5.7
2026-08-14,207,2014,79.8,5.7
2026-08-15,207,2014,79.8,5.7
2026-08-16,207,2014,79.8,5.7
2026-08-17,207,2014,79.8,5.7
2026-08-18,207,2014,79.8,5.7
2026-08-19,207,2014,79.8,5.7
2026-08-20,207,2014,79.8,5.7
2026-08-21,207,2014,79.8,5.7
2026-08-22,207,2014,79.8,5.7
2026-08-23,207,2014,79.8,5.7
2026-08-24,207,2014,79.8,5.7
2026-08-25,207,2014,79.8,5.7
2026-08-26,207,2071,79.8,5.6
2026-08-27,207,2075,79.8,5.6
2026-08-28,207,2075,79.8,5.6
2026-08-29,207,2075,79.8,5.6
2026-08-30,207,2075,79.8,5.6
2026-08-31,207,2075,79.8,5.6
2026-09-01,207,2075,79.8,5.6
2026-09-02,207,2075,79.8,5.6
2026-09-03,207,2075,79.8,5.6
